title	live_url	wayback_lookup	archive_ph_newest	archive_today_newest	archive_li_newest
GPU Gems 2	https://developer.nvidia.com/gpugems/gpugems2/copyright	https://web.archive.org/web/*/https://developer.nvidia.com/gpugems/gpugems2/copyright	https://archive.ph/newest/https://developer.nvidia.com/gpugems/gpugems2/copyright	https://archive.today/newest/https://developer.nvidia.com/gpugems/gpugems2/copyright	https://archive.li/newest/https://developer.nvidia.com/gpugems/gpugems2/copyright
Programming Massively Parallel Processors 5e	https://shop.elsevier.com/books/programming-massively-parallel-processors/hwu/978-0-443-43900-1	https://web.archive.org/web/*/https://shop.elsevier.com/books/programming-massively-parallel-processors/hwu/978-0-443-43900-1	https://archive.ph/newest/https://shop.elsevier.com/books/programming-massively-parallel-processors/hwu/978-0-443-43900-1	https://archive.today/newest/https://shop.elsevier.com/books/programming-massively-parallel-processors/hwu/978-0-443-43900-1	https://archive.li/newest/https://shop.elsevier.com/books/programming-massively-parallel-processors/hwu/978-0-443-43900-1
Numerical Computations with GPUs	https://link.springer.com/book/10.1007/978-3-319-06548-9	https://web.archive.org/web/*/https://link.springer.com/book/10.1007/978-3-319-06548-9	https://archive.ph/newest/https://link.springer.com/book/10.1007/978-3-319-06548-9	https://archive.today/newest/https://link.springer.com/book/10.1007/978-3-319-06548-9	https://archive.li/newest/https://link.springer.com/book/10.1007/978-3-319-06548-9
The CUDA Handbook	https://www.informit.com/store/cuda-handbook-a-comprehensive-guide-to-gpu-programming-9780134852836	https://web.archive.org/web/*/https://www.informit.com/store/cuda-handbook-a-comprehensive-guide-to-gpu-programming-9780134852836	https://archive.ph/newest/https://www.informit.com/store/cuda-handbook-a-comprehensive-guide-to-gpu-programming-9780134852836	https://archive.today/newest/https://www.informit.com/store/cuda-handbook-a-comprehensive-guide-to-gpu-programming-9780134852836	https://archive.li/newest/https://www.informit.com/store/cuda-handbook-a-comprehensive-guide-to-gpu-programming-9780134852836
OpenGL Shading Language 3e	https://www.informit.com/store/opengl-shading-language-9780321637635	https://web.archive.org/web/*/https://www.informit.com/store/opengl-shading-language-9780321637635	https://archive.ph/newest/https://www.informit.com/store/opengl-shading-language-9780321637635	https://archive.today/newest/https://www.informit.com/store/opengl-shading-language-9780321637635	https://archive.li/newest/https://www.informit.com/store/opengl-shading-language-9780321637635
Graphics Shaders Theory and Practice 2e	https://www.routledge.com/Graphics-Shaders-Theory-and-Practice-Second-Edition/Bailey-Cunningham/p/book/9781568814346	https://web.archive.org/web/*/https://www.routledge.com/Graphics-Shaders-Theory-and-Practice-Second-Edition/Bailey-Cunningham/p/book/9781568814346	https://archive.ph/newest/https://www.routledge.com/Graphics-Shaders-Theory-and-Practice-Second-Edition/Bailey-Cunningham/p/book/9781568814346	https://archive.today/newest/https://www.routledge.com/Graphics-Shaders-Theory-and-Practice-Second-Edition/Bailey-Cunningham/p/book/9781568814346	https://archive.li/newest/https://www.routledge.com/Graphics-Shaders-Theory-and-Practice-Second-Edition/Bailey-Cunningham/p/book/9781568814346
ShaderX GPU Pro index	https://www.realtimerendering.com/resources/shaderx/	https://web.archive.org/web/*/https://www.realtimerendering.com/resources/shaderx/	https://archive.ph/newest/https://www.realtimerendering.com/resources/shaderx/	https://archive.today/newest/https://www.realtimerendering.com/resources/shaderx/	https://archive.li/newest/https://www.realtimerendering.com/resources/shaderx/
GPU Pro 1	https://www.routledge.com/GPU-Pro-Advanced-Rendering-Techniques-1st-Edition/Engel/p/book/9780429108426	https://web.archive.org/web/*/https://www.routledge.com/GPU-Pro-Advanced-Rendering-Techniques-1st-Edition/Engel/p/book/9780429108426	https://archive.ph/newest/https://www.routledge.com/GPU-Pro-Advanced-Rendering-Techniques-1st-Edition/Engel/p/book/9780429108426	https://archive.today/newest/https://www.routledge.com/GPU-Pro-Advanced-Rendering-Techniques-1st-Edition/Engel/p/book/9780429108426	https://archive.li/newest/https://www.routledge.com/GPU-Pro-Advanced-Rendering-Techniques-1st-Edition/Engel/p/book/9780429108426
GPU PRO 360 Guide to GPGPU	https://www.routledge.com/GPU-PRO-360-Guide-to-GPGPU/Engel/p/book/9781138484412	https://web.archive.org/web/*/https://www.routledge.com/GPU-PRO-360-Guide-to-GPGPU/Engel/p/book/9781138484412	https://archive.ph/newest/https://www.routledge.com/GPU-PRO-360-Guide-to-GPGPU/Engel/p/book/9781138484412	https://archive.today/newest/https://www.routledge.com/GPU-PRO-360-Guide-to-GPGPU/Engel/p/book/9781138484412	https://archive.li/newest/https://www.routledge.com/GPU-PRO-360-Guide-to-GPGPU/Engel/p/book/9781138484412
General-Purpose Graphics Processor Architectures	https://link.springer.com/book/10.1007/978-3-031-01759-9	https://web.archive.org/web/*/https://link.springer.com/book/10.1007/978-3-031-01759-9	https://archive.ph/newest/https://link.springer.com/book/10.1007/978-3-031-01759-9	https://archive.today/newest/https://link.springer.com/book/10.1007/978-3-031-01759-9	https://archive.li/newest/https://link.springer.com/book/10.1007/978-3-031-01759-9
